stem,root,class,mode,voice,modification,stem_IAST,root_IAST
aMSanIya,aMS,,fut,pass,,aṃśanīya,aṃś
aMSayat,aMS,10,pres,para,,aṃśayat,aṃś
aMSayamAna,aMS,10,pres,atma,,aṃśayamāna,aṃś
aMSayitavya,aMS,,fut,pass,,aṃśayitavya,aṃś
aMSayizyat,aMS,,fut,para,,aṃśayiṣyat,aṃś
aMSayizyamAna,aMS,,fut,atma,,aṃśayiṣyamāna,aṃś
aMSitavat,aMS,,past,active,,aṃśitavat,aṃś
aMSita,aMS,,past,pass,,aṃśita,aṃś
aMSyamAna,aMS,,pres,pass,,aṃśyamāna,aṃś
aMSya,aMS,,fut,pass,,aṃśya,aṃś
aktavat,aj,,past,active,,aktavat,aj
aktavat,aYc,,past,active,,aktavat,añc
aktavat,aYj,,past,active,,aktavat,añj
aktavya,aj,,fut,pass,,aktavya,aj
akta,aj,,past,pass,,akta,aj
akta,aYc,,past,pass,,akta,añc
akta,aYj,,past,pass,,akta,añj
aknavat,aYc,,past,active,,aknavat,añc
akna,aYc,,past,pass,,akna,añc
akzaRIya,akz,,fut,pass,,akṣaṇīya,akṣ
akzat,akz,1,pres,para,,akṣat,akṣ
akzamAna,akz,1,pres,atma,,akṣamāna,akṣ
akzitavya,akz,,fut,pass,,akṣitavya,akṣ
akzizyat,akz,,fut,para,,akṣiṣyat,akṣ
akzizyamAna,akz,,fut,atma,,akṣiṣyamāna,akṣ
akzyat,akz,,fut,para,,akṣyat,akṣ
akzyat,aj,,fut,para,,akṣyat,aj
akzyat,aS#1,,fut,para,,akṣyat,aś#1
akzyat,aS#2,,fut,para,,akṣyat,aś#2
akzyamAna,akz,,fut,atma,,akṣyamāna,akṣ
akzyamAna,akz,,pres,pass,,akṣyamāna,akṣ
akzyamAna,aj,,fut,atma,,akṣyamāna,aj
akzyamAna,aS#1,,fut,atma,,akṣyamāna,aś#1
akzyamAna,aS#2,,fut,atma,,akṣyamāna,aś#2
akzya,akz,,fut,pass,,akṣya,akṣ
aGatavat,aGa#2,,past,active,,aghatavat,agha#2
aGata,aGa#2,,past,pass,,aghata,agha#2
aGaya,aGa#2,,fut,pass,,aghaya,agha#2
aGAnIya,aGa#2,,fut,pass,,aghānīya,agha#2
aGAyat,aGa#2,10,pres,para,,aghāyat,agha#2
aGAyamAna,aGa#2,10,pres,atma,,aghāyamāna,agha#2
aGAyamAna,aGa#2,,pres,pass,,aghāyamāna,agha#2
aGAyitavya,aGa#2,,fut,pass,,aghāyitavya,agha#2
aGAyizyat,aGa#2,,fut,para,,aghāyiṣyat,agha#2
aGAyizyamAna,aGa#2,,fut,atma,,aghāyiṣyamāna,agha#2
aNkanIya,aNk,,fut,pass,,aṅkanīya,aṅk
aNkayat,aNk,10,pres,para,,aṅkayat,aṅk
aNkayamAna,aNk,10,pres,atma,,aṅkayamāna,aṅk
aNkayitavya,aNk,,fut,pass,,aṅkayitavya,aṅk
aNkayizyat,aNk,,fut,para,,aṅkayiṣyat,aṅk
aNkayizyamAna,aNk,,fut,atma,,aṅkayiṣyamāna,aṅk
aNkitavat,aNk,,past,active,,aṅkitavat,aṅk
aNkita,aNk,,past,pass,,aṅkita,aṅk
aNktavya,aYc,,fut,pass,,aṅktavya,añc
aNktavya,aYj,,fut,pass,,aṅktavya,añj
aNkyamAna,aNk,,pres,pass,,aṅkyamāna,aṅk
aNkya,aNk,,fut,pass,,aṅkya,aṅk
aNkzyat,aNg,,fut,para,,aṅkṣyat,aṅg
aNkzyat,aYc,,fut,para,,aṅkṣyat,añc
aNkzyat,aYj,,fut,para,,aṅkṣyat,añj
aNkzyamAna,aNg,,fut,atma,,aṅkṣyamāna,aṅg
aNkzyamAna,aYc,,fut,atma,,aṅkṣyamāna,añc
aNkzyamAna,aYj,,fut,atma,,aṅkṣyamāna,añj
aNKanIya,aNK,,fut,pass,,aṅkhanīya,aṅkh
aNKayat,aNK,10,pres,para,,aṅkhayat,aṅkh
aNKayamAna,aNK,10,pres,atma,,aṅkhayamāna,aṅkh
aNKayitavya,aNK,,fut,pass,,aṅkhayitavya,aṅkh
aNKayizyat,aNK,,fut,para,,aṅkhayiṣyat,aṅkh
aNKayizyamAna,aNK,,fut,atma,,aṅkhayiṣyamāna,aṅkh
aNKitavat,aNK,,past,active,,aṅkhitavat,aṅkh
aNKita,aNK,,past,pass,,aṅkhita,aṅkh
aNKyamAna,aNK,,pres,pass,,aṅkhyamāna,aṅkh
aNKya,aNK,,fut,pass,,aṅkhya,aṅkh
aNgat,aNg,1,pres,para,,aṅgat,aṅg
aNganIya,aNg,,fut,pass,,aṅganīya,aṅg
aNgamAna,aNg,1,pres,atma,,aṅgamāna,aṅg
aNgitavat,aNg,,past,active,,aṅgitavat,aṅg
aNgita,aNg,,past,pass,,aṅgita,aṅg
aNgtavya,aNg,,fut,pass,,aṅgtavya,aṅg
aNgyamAna,aNg,,pres,pass,,aṅgyamāna,aṅg
aNgya,aNg,,fut,pass,,aṅgya,aṅg
acat,aYc,1,pres,para,,acat,añc
acamAna,aYc,1,pres,atma,,acamāna,añc
acyamAna,aYc,,pres,pass,,acyamāna,añc
ajat,aj,1,pres,para,,ajat,aj
ajanIya,aj,,fut,pass,,ajanīya,aj
ajamAna,aj,1,pres,atma,,ajamāna,aj
ajiratavat,ajira#2,,past,active,,ajiratavat,ajira#2
ajirata,ajira#2,,past,pass,,ajirata,ajira#2
ajiraya,ajira#2,,fut,pass,,ajiraya,ajira#2
ajirARIya,ajira#2,,fut,pass,,ajirāṇīya,ajira#2
ajirAyat,ajira#2,10,pres,para,,ajirāyat,ajira#2
ajirAyamAna,ajira#2,10,pres,atma,,ajirāyamāna,ajira#2
ajirAyamAna,ajira#2,,pres,pass,,ajirāyamāna,ajira#2
ajirAyitavya,ajira#2,,fut,pass,,ajirāyitavya,ajira#2
ajirAyizyat,ajira#2,,fut,para,,ajirāyiṣyat,ajira#2
ajirAyizyamAna,ajira#2,,fut,atma,,ajirāyiṣyamāna,ajira#2
ajyamAna,aj,,pres,pass,,ajyamāna,aj
ajyamAna,aYj,,pres,pass,,ajyamāna,añj
ajya,aj,,fut,pass,,ajya,aj
aYcat,aYc,1,pres,para,,añcat,añc
aYcanIya,aYc,,fut,pass,,añcanīya,añc
aYcanIya,aYc,,fut,pass,caus,añcanīya,añc
aYcamAna,aYc,1,pres,atma,,añcamāna,añc
aYcayat,aYc,,pres,para,caus,añcayat,añc
aYcayamAna,aYc,,pres,atma,caus,añcayamāna,añc
aYcayitavya,aYc,,fut,pass,caus,añcayitavya,añc
aYcayizyat,aYc,,fut,para,caus,añcayiṣyat,añc
aYcayizyamAna,aYc,,fut,atma,,añcayiṣyamāna,añc
aYcayizyamAna,aYc,,fut,atma,caus,añcayiṣyamāna,añc
aYcitavat,aYc,,past,active,,añcitavat,añc
aYcitavat,aYc,,past,active,caus,añcitavat,añc
aYcita,aYc,,past,pass,,añcita,añc
aYcita,aYc,,past,pass,caus,añcita,añc
aYcyamAna,aYc,,pres,pass,caus,añcyamāna,añc
aYcya,aYc,,fut,pass,,añcya,añc
aYcya,aYc,,fut,pass,caus,añcya,añc
aYjat,aYj,7,pres,para,,añjat,añj
aYjanIya,aYj,,fut,pass,,añjanīya,añj
aYjanIya,aYj,,fut,pass,caus,añjanīya,añj
aYjayat,aYj,,pres,para,caus,añjayat,añj
aYjayamAna,aYj,,pres,atma,caus,añjayamāna,añj
aYjayitavya,aYj,,fut,pass,caus,añjayitavya,añj
aYjayizyat,aYj,,fut,para,caus,añjayiṣyat,añj
aYjayizyamAna,aYj,,fut,atma,,añjayiṣyamāna,añj
aYjayizyamAna,aYj,,fut,atma,caus,añjayiṣyamāna,añj
aYjAna,aYj,7,pres,atma,,añjāna,añj
aYjitavat,aYj,,past,active,caus,añjitavat,añj
aYjita,aYj,,past,pass,caus,añjita,añj
aYjyamAna,aYj,,pres,pass,caus,añjyamāna,añj
aYjya,aYj,,fut,pass,,añjya,añj
aYjya,aYj,,fut,pass,caus,añjya,añj
awat,aw,1,pres,para,,aṭat,aṭ
awanIya,aw,,fut,pass,,aṭanīya,aṭ
awamAna,aw,1,pres,atma,,aṭamāna,aṭ
awitavat,aw,,past,active,,aṭitavat,aṭ
awita,aw,,past,pass,,aṭita,aṭ
awwavya,aw,,fut,pass,,aṭṭavya,aṭ
awyamAna,aw,,pres,pass,,aṭyamāna,aṭ
awya,aw,,fut,pass,,aṭya,aṭ
awsyat,aw,,fut,para,,aṭsyat,aṭ
awsyamAna,aw,,fut,atma,,aṭsyamāna,aṭ
atat,at,1,pres,para,,atat,at
atanIya,at,,fut,pass,,atanīya,at
atamAna,at,1,pres,atma,,atamāna,at
atitavat,at,,past,active,,atitavat,at
atita,at,,past,pass,,atita,at
attavat,ad#1,,past,active,,attavat,ad#1
attavya,at,,fut,pass,,attavya,at
attavya,ad#1,,fut,pass,,attavya,ad#1
atta,ad#1,,past,pass,,atta,ad#1
atyamAna,at,,pres,pass,,atyamāna,at
atya,at,,fut,pass,,atya,at
atsyat,at,,fut,para,,atsyat,at
atsyat,ad#1,,fut,para,,atsyat,ad#1
atsyamAna,at,,fut,atma,,atsyamāna,at
atsyamAna,ad#1,,fut,atma,,atsyamāna,ad#1
adat,ad#1,2,pres,para,,adat,ad#1
adanIya,ad#1,,fut,pass,,adanīya,ad#1
adAna,ad#1,2,pres,atma,,adāna,ad#1
adyamAna,ad#1,,pres,pass,,adyamāna,ad#1
adya,ad#1,,fut,pass,,adya,ad#1
aDvaraRIya,aDvar,,fut,pass,,adhvaraṇīya,adhvar
aDvartavat,aDvar,,past,active,,adhvartavat,adhvar
aDvarta,aDvar,,past,pass,,adhvarta,adhvar
aDvaryat,aDvar,10,pres,para,,adhvaryat,adhvar
aDvaryamAna,aDvar,10,pres,atma,,adhvaryamāna,adhvar
aDvarya,aDvar,,fut,pass,,adhvarya,adhvar
aDvaryitavya,aDvar,,fut,pass,,adhvaryitavya,adhvar
aDvaryizyat,aDvar,,fut,para,,adhvaryiṣyat,adhvar
aDvaryizyamAna,aDvar,,fut,atma,,adhvaryiṣyamāna,adhvar
anaMSAna,aMS,,perf,atma,,anaṃśāna,aṃś
anaMSvas,aMS,,perf,para,,anaṃśvas,aṃś
anaGavas,aGa#2,,perf,para,,anaghavas,agha#2
anaGAna,aGa#2,,perf,atma,,anaghāna,agha#2
anaNkAna,aNk,,perf,atma,,anaṅkāna,aṅk
anaNkvas,aNk,,perf,para,,anaṅkvas,aṅk
anaNKAna,aNK,,perf,atma,,anaṅkhāna,aṅkh
anaNKvas,aNK,,perf,para,,anaṅkhvas,aṅkh
anaNgAna,aNg,,perf,atma,,anaṅgāna,aṅg
anaNgvas,aNg,,perf,para,,anaṅgvas,aṅg
anajiravas,ajira#2,,perf,para,,anajiravas,ajira#2
anajirARa,ajira#2,,perf,atma,,anajirāṇa,ajira#2
anaDvarARa,aDvar,,perf,atma,,anadhvarāṇa,adhvar
anaDvarvas,aDvar,,perf,para,,anadhvarvas,adhvar
anat,an#2,2,pres,para,,anat,an#2
ananinizvas,an#2,,perf,para,desid,ananiniṣvas,an#2
anamitrARa,amitr,,perf,atma,,anamitrāṇa,amitr
anamitrvas,amitr,,perf,para,,anamitrvas,amitr
anarcicizvas,fc#1,,perf,para,desid,anarciciṣvas,ṛc#1
anarTAna,arT,,perf,atma,,anarthāna,arth
anarTvas,arT,,perf,para,,anarthvas,arth
anardAna,ard,,perf,atma,,anardāna,ard
anardvas,ard,,perf,para,,anardvas,ard
anarhARa,arh,,perf,atma,,anarhāṇa,arh
anarhvas,arh,,perf,para,,anarhvas,arh
anaSanAna,aSan,,perf,atma,,anaśanāna,aśan
anaSanvas,aSan,,perf,para,,anaśanvas,aśan
anasUvas,asU,,perf,para,,anasūvas,asū
anasvAna,asU,,perf,atma,,anasvāna,asū
anAna,an#2,2,pres,atma,,anāna,an#2
anitavat,an#2,,past,active,,anitavat,an#2
anita,an#2,,past,pass,,anita,an#2
aninizaRIya,an#2,,fut,pass,desid,aniniṣaṇīya,an#2
aninizat,an#2,,pres,para,desid,aniniṣat,an#2
aninizitavat,an#2,,past,active,desid,aniniṣitavat,an#2
aninizita,an#2,,past,pass,desid,aniniṣita,an#2
anizyat,an#2,,fut,para,,aniṣyat,an#2
anizyamAna,an#2,,fut,atma,,aniṣyamāna,an#2
amat,am,2,pres,para,,amat,am
amat,am,1,pres,para,,amat,am
amamAna,am,1,pres,atma,,amamāna,am
amAna,am,2,pres,atma,,amāna,am
amitavat,am,,past,active,,amitavat,am
amita,am,,past,pass,,amita,am
amitrayat,amitr,10,pres,para,,amitrayat,amitr
amitrayamAna,amitr,10,pres,atma,,amitrayamāna,amitr
amitrayitavya,amitr,,fut,pass,,amitrayitavya,amitr
amitrayizyat,amitr,,fut,para,,amitrayiṣyat,amitr
amitrayizyamAna,amitr,,fut,atma,,amitrayiṣyamāna,amitr
amitritavat,amitr,,past,active,,amitritavat,amitr
amitrita,amitr,,past,pass,,amitrita,amitr
amitryamAna,amitr,,pres,pass,,amitryamāna,amitr
amItavya,am,,fut,pass,,amītavya,am
amIzyat,am,,fut,para,,amīṣyat,am
amIzyamAna,am,,fut,atma,,amīṣyamāna,am
ametraRIya,amitr,,fut,pass,,ametraṇīya,amitr
ametrya,amitr,,fut,pass,,ametrya,amitr
amyanIya,am,,fut,pass,,amyanīya,am
amyamAna,am,,pres,pass,,amyamāna,am
amya,am,,fut,pass,,amya,am
ayat,i,1,pres,para,,ayat,i
ayanIya,i,,fut,pass,,ayanīya,i
ayamAna,i,1,pres,atma,,ayamāna,i
araRIya,f,,fut,pass,,araṇīya,ṛ
arARa,f,,perf,atma,,arāṇa,ṛ
arivas,f,,perf,para,,arivas,ṛ
arizyat,f,,fut,para,,ariṣyat,ṛ
arizyamAna,f,,fut,atma,,ariṣyamāna,ṛ
arkzyat,arh,,fut,para,,arkṣyat,arh
arkzyat,fz,,fut,para,,arkṣyat,ṛṣ
arkzyamAna,arh,,fut,atma,,arkṣyamāna,arh
arkzyamAna,fz,,fut,atma,,arkṣyamāna,ṛṣ
arcat,fc#1,1,pres,para,,arcat,ṛc#1
arcanIya,fc#1,,fut,pass,,arcanīya,ṛc#1
arcanIya,fc#1,,fut,pass,caus,arcanīya,ṛc#1
arcamAna,fc#1,1,pres,atma,,arcamāna,ṛc#1
arcayat,fc#1,,pres,para,caus,arcayat,ṛc#1
arcayamAna,fc#1,,pres,atma,caus,arcayamāna,ṛc#1
arcayitavya,fc#1,,fut,pass,caus,arcayitavya,ṛc#1
arcayizyat,fc#1,,fut,para,caus,arcayiṣyat,ṛc#1
arcayizyamAna,fc#1,,fut,atma,,arcayiṣyamāna,ṛc#1
arcayizyamAna,fc#1,,fut,atma,caus,arcayiṣyamāna,ṛc#1
arcicizaRIya,fc#1,,fut,pass,desid,arciciṣaṇīya,ṛc#1
arcicizat,fc#1,,pres,para,desid,arciciṣat,ṛc#1
arcicizitavat,fc#1,,past,active,desid,arciciṣitavat,ṛc#1
arcicizita,fc#1,,past,pass,desid,arciciṣita,ṛc#1
arcitavat,fc#1,,past,active,,arcitavat,ṛc#1
arcitavat,fc#1,,past,active,caus,arcitavat,ṛc#1
arcitavya,fc#1,,fut,pass,,arcitavya,ṛc#1
arcita,fc#1,,past,pass,,arcita,ṛc#1
arcita,fc#1,,past,pass,caus,arcita,ṛc#1
arcizyat,fc#1,,fut,para,,arciṣyat,ṛc#1
arcizyamAna,fc#1,,fut,atma,,arciṣyamāna,ṛc#1
arcyamAna,fc#1,,pres,pass,caus,arcyamāna,ṛc#1
arcya,fc#1,,fut,pass,caus,arcya,ṛc#1
arjat,fj,1,pres,para,,arjat,ṛj
arjanIya,fj,,fut,pass,caus,arjanīya,ṛj
arjanIya,fj,,fut,pass,,arjanīya,ṛj
arjamAna,fj,1,pres,atma,,arjamāna,ṛj
arjayat,fj,,pres,para,caus,arjayat,ṛj
arjayamAna,fj,,pres,atma,caus,arjayamāna,ṛj
arjayitavya,fj,,fut,pass,caus,arjayitavya,ṛj
arjayizyat,fj,,fut,para,caus,arjayiṣyat,ṛj
arjayizyamAna,fj,,fut,atma,,arjayiṣyamāna,ṛj
arjayizyamAna,fj,,fut,atma,caus,arjayiṣyamāna,ṛj
arjitavat,fj,,past,active,caus,arjitavat,ṛj
arjitavat,fj,,past,active,,arjitavat,ṛj
arjitavya,fj,,fut,pass,,arjitavya,ṛj
arjita,fj,,past,pass,caus,arjita,ṛj
arjita,fj,,past,pass,,arjita,ṛj
arjizyat,fj,,fut,para,,arjiṣyat,ṛj
arjizyamAna,fj,,fut,atma,,arjiṣyamāna,ṛj
arjyamAna,fj,,pres,pass,caus,arjyamāna,ṛj
arjya,fj,,fut,pass,caus,arjya,ṛj
arQavya,arh,,fut,pass,,arḍhavya,arh
artavya,f,,fut,pass,,artavya,ṛ
arttavya,ard,,fut,pass,,arttavya,ard
artsyat,ard,,fut,para,,artsyat,ard
artsyamAna,ard,,fut,atma,,artsyamāna,ard
arTanIya,arT,,fut,pass,,arthanīya,arth
arTayat,arT,10,pres,para,,arthayat,arth
arTayamAna,arT,10,pres,atma,,arthayamāna,arth
arTayitavya,arT,,fut,pass,,arthayitavya,arth
arTayizyat,arT,,fut,para,,arthayiṣyat,arth
arTayizyamAna,arT,,fut,atma,,arthayiṣyamāna,arth
arTitavat,arT,,past,active,,arthitavat,arth
arTita,arT,,past,pass,,arthita,arth
arTyamAna,arT,,pres,pass,,arthyamāna,arth
arTya,arT,,fut,pass,,arthya,arth
ardat,ard,1,pres,para,,ardat,ard
ardanIya,ard,,fut,pass,,ardanīya,ard
ardamAna,ard,1,pres,atma,,ardamāna,ard
arditavat,ard,,past,active,,arditavat,ard
ardita,ard,,past,pass,,ardita,ard
ardyamAna,ard,,pres,pass,,ardyamāna,ard
ardya,ard,,fut,pass,,ardya,ard
arDanIya,fD,,fut,pass,,ardhanīya,ṛdh
arDanIya,fD,,fut,pass,caus,ardhanīya,ṛdh
arDayat,fD,,pres,para,caus,ardhayat,ṛdh
arDayamAna,fD,,pres,atma,caus,ardhayamāna,ṛdh
arDayitavya,fD,,fut,pass,caus,ardhayitavya,ṛdh
arDayizyat,fD,,fut,para,caus,ardhayiṣyat,ṛdh
arDayizyamAna,fD,,fut,atma,,ardhayiṣyamāna,ṛdh
arDayizyamAna,fD,,fut,atma,caus,ardhayiṣyamāna,ṛdh
arDitavat,fD,,past,active,caus,ardhitavat,ṛdh
arDitavya,fD,,fut,pass,,ardhitavya,ṛdh
arDita,fD,,past,pass,caus,ardhita,ṛdh
arDizyat,fD,,fut,para,,ardhiṣyat,ṛdh
arDizyamAna,fD,,fut,atma,,ardhiṣyamāna,ṛdh
arDyamAna,fD,,pres,pass,caus,ardhyamāna,ṛdh
arDya,fD,,fut,pass,caus,ardhya,ṛdh
arpaRIya,f,,fut,pass,caus,arpaṇīya,ṛ
arpayat,f,,pres,para,caus,arpayat,ṛ
arpayamAna,f,,pres,atma,caus,arpayamāna,ṛ
arpayitavya,f,,fut,pass,caus,arpayitavya,ṛ
arpayizyat,f,,fut,para,caus,arpayiṣyat,ṛ
arpayizyamAna,f,,fut,atma,,arpayiṣyamāna,ṛ
arpayizyamAna,f,,fut,atma,caus,arpayiṣyamāna,ṛ
arpitavat,f,,past,active,caus,arpitavat,ṛ
arpita,f,,past,pass,caus,arpita,ṛ
arpyamAna,f,,pres,pass,caus,arpyamāna,ṛ
arpya,f,,fut,pass,caus,arpya,ṛ
aryamAna,f,,pres,pass,,aryamāna,ṛ
arzaRIya,fz,,fut,pass,,arṣaṇīya,ṛṣ
arzat,fz,1,pres,para,,arṣat,ṛṣ
arzamAna,fz,1,pres,atma,,arṣamāna,ṛṣ
arzwavya,fz,,fut,pass,,arṣṭavya,ṛṣ
arhaRIya,arh,,fut,pass,,arhaṇīya,arh
arhaRIya,arh,,fut,pass,caus,arhaṇīya,arh
arhat,arh,1,pres,para,,arhat,arh
arhamAna,arh,1,pres,atma,,arhamāna,arh
arhayat,arh,,pres,para,caus,arhayat,arh
arhayamAna,arh,,pres,atma,caus,arhayamāna,arh
arhayitavya,arh,,fut,pass,caus,arhayitavya,arh
arhayizyat,arh,,fut,para,caus,arhayiṣyat,arh
arhayizyamAna,arh,,fut,atma,,arhayiṣyamāna,arh
arhayizyamAna,arh,,fut,atma,caus,arhayiṣyamāna,arh
arhitavat,arh,,past,active,,arhitavat,arh
arhitavat,arh,,past,active,caus,arhitavat,arh
arhita,arh,,past,pass,,arhita,arh
arhita,arh,,past,pass,caus,arhita,arh
arhyamAna,arh,,pres,pass,,arhyamāna,arh
arhyamAna,arh,,pres,pass,caus,arhyamāna,arh
arhya,arh,,fut,pass,,arhya,arh
arhya,arh,,fut,pass,caus,arhya,arh
avat,av,1,pres,para,,avat,av
avanIya,av,,fut,pass,,avanīya,av
avamAna,av,1,pres,atma,,avamāna,av
avitavat,av,,past,active,,avitavat,av
avitavya,av,,fut,pass,,avitavya,av
avita,av,,past,pass,,avita,av
avizyat,av,,fut,para,,aviṣyat,av
avizyamAna,av,,fut,atma,,aviṣyamāna,av
avyamAna,av,,pres,pass,,avyamāna,av
avya,av,,fut,pass,,avya,av
aSananIya,aSan,,fut,pass,,aśananīya,aśan
aSanayizyat,aSan,,fut,para,,aśanayiṣyat,aśan
aSanayizyamAna,aSan,,fut,atma,,aśanayiṣyamāna,aśan
aSanAyat,aSan,10,pres,para,,aśanāyat,aśan
aSanAyamAna,aSan,10,pres,atma,,aśanāyamāna,aśan
aSanAyitavya,aSan,,fut,pass,,aśanāyitavya,aśan
aSanIya,aS#1,,fut,pass,,aśanīya,aś#1
aSanIya,aS#2,,fut,pass,,aśanīya,aś#2
aSantavat,aSan,,past,active,,aśantavat,aśan
aSanta,aSan,,past,pass,,aśanta,aśan
aSanyamAna,aSan,,pres,pass,,aśanyamāna,aśan
aSanya,aSan,,fut,pass,,aśanya,aśan
aSitavat,aS#2,,past,active,,aśitavat,aś#2
aSita,aS#2,,past,pass,,aśita,aś#2
aSnat,aS#2,9,pres,para,,aśnat,aś#2
aSnAna,aS#2,9,pres,atma,,aśnāna,aś#2
aSnuvat,aS#1,5,pres,para,,aśnuvat,aś#1
aSnvAna,aS#1,5,pres,atma,,aśnvāna,aś#1
aSyamAna,aS#1,,pres,pass,,aśyamāna,aś#1
aSyamAna,aS#2,,pres,pass,,aśyamāna,aś#2
aSya,aS#1,,fut,pass,,aśya,aś#1
aSya,aS#2,,fut,pass,,aśya,aś#2
azwavat,aS#1,,past,active,,aṣṭavat,aś#1
azwavya,akz,,fut,pass,,aṣṭavya,akṣ
azwavya,aS#1,,fut,pass,,aṣṭavya,aś#1
azwavya,aS#2,,fut,pass,,aṣṭavya,aś#2
azwa,aS#1,,past,pass,,aṣṭa,aś#1
asat,as#2,1,pres,para,,asat,as#2
asanIya,as#2,,fut,pass,,asanīya,as#2
asamAna,as#2,1,pres,atma,,asamāna,as#2
asavanIya,asU,,fut,pass,,asavanīya,asū
asitavya,as#2,,fut,pass,,asitavya,as#2
asizyat,as#2,,fut,para,,asiṣyat,as#2
asizyamAna,as#2,,fut,atma,,asiṣyamāna,as#2
asUtavat,asU,,past,active,,asūtavat,asū
asUta,asU,,past,pass,,asūta,asū
asUyat,asU,10,pres,para,,asūyat,asū
asUyamAna,asU,10,pres,atma,,asūyamāna,asū
asUyitavya,asU,,fut,pass,,asūyitavya,asū
asUyizyat,asU,,fut,para,,asūyiṣyat,asū
asUyizyamAna,asU,,fut,atma,,asūyiṣyamāna,asū
asoya,asU,,fut,pass,,asoya,asū
astavat,as#2,,past,active,,astavat,as#2
asta,as#2,,past,pass,,asta,as#2
asyat,as#2,4,pres,para,,asyat,as#2
asyamAna,as#2,4,pres,atma,,asyamāna,as#2
asyamAna,as#2,,pres,pass,,asyamāna,as#2
asya,as#2,,fut,pass,,asya,as#2
Akulayat,Akul,10,pres,para,,ākulayat,ākul
AkulayamAna,Akul,10,pres,atma,,ākulayamāna,ākul
Akulayitavya,Akul,,fut,pass,,ākulayitavya,ākul
Akulayizyat,Akul,,fut,para,,ākulayiṣyat,ākul
AkulayizyamAna,Akul,,fut,atma,,ākulayiṣyamāna,ākul
AkulAna,Akul,,perf,atma,,ākulāna,ākul
Akulitavat,Akul,,past,active,,ākulitavat,ākul
Akulita,Akul,,past,pass,,ākulita,ākul
AkulyamAna,Akul,,pres,pass,,ākulyamāna,ākul
Akulvas,Akul,,perf,para,,ākulvas,ākul
AkolanIya,Akul,,fut,pass,,ākolanīya,ākul
Akolya,Akul,,fut,pass,,ākolya,ākul
AjAna,aj,,perf,atma,,ājāna,aj
Ajivas,aj,,perf,para,,ājivas,aj
AwAna,aw,,perf,atma,,āṭāna,aṭ
Awivas,aw,,perf,para,,āṭivas,aṭ
AtAna,at,,perf,atma,,ātāna,at
Ativas,at,,perf,para,,ātivas,at
AdanIya,ad#1,,fut,pass,caus,ādanīya,ad#1
Adayat,ad#1,,pres,para,caus,ādayat,ad#1
AdayamAna,ad#1,,pres,atma,caus,ādayamāna,ad#1
Adayitavya,ad#1,,fut,pass,caus,ādayitavya,ad#1
Adayizyat,ad#1,,fut,para,caus,ādayiṣyat,ad#1
AdayizyamAna,ad#1,,fut,atma,,ādayiṣyamāna,ad#1
AdayizyamAna,ad#1,,fut,atma,caus,ādayiṣyamāna,ad#1
AdAna,ad#1,,perf,atma,,ādāna,ad#1
Aditavat,ad#1,,past,active,caus,āditavat,ad#1
Adita,ad#1,,past,pass,caus,ādita,ad#1
Adivas,ad#1,,perf,para,,ādivas,ad#1
AdyamAna,ad#1,,pres,pass,caus,ādyamāna,ad#1
Adya,ad#1,,fut,pass,caus,ādya,ad#1
AnakzARa,akz,,perf,atma,,ānakṣāṇa,akṣ
Anakzvas,akz,,perf,para,,ānakṣvas,akṣ
AnaYcAna,aYc,,perf,atma,,ānañcāna,añc
AnaYcvas,aYc,,perf,para,,ānañcvas,añc
AnaYjAna,aYj,,perf,atma,,ānañjāna,añj
AnaYjvas,aYj,,perf,para,,ānañjvas,añj
AnanIya,an#2,,fut,pass,caus,ānanīya,an#2
Anayat,an#2,,pres,para,caus,ānayat,an#2
AnayamAna,an#2,,pres,atma,caus,ānayamāna,an#2
Anayizyat,an#2,,fut,para,caus,ānayiṣyat,an#2
AnayizyamAna,an#2,,fut,atma,,ānayiṣyamāna,an#2
AnayizyamAna,an#2,,fut,atma,caus,ānayiṣyamāna,an#2
AnAna,an#2,,perf,atma,,ānāna,an#2
Anitavat,an#2,,past,active,caus,ānitavat,an#2
Anitavat,am,,past,active,,ānitavat,am
Anita,an#2,,past,pass,caus,ānita,an#2
Anita,am,,past,pass,,ānita,am
Anivas,an#2,,perf,para,,ānivas,an#2
AnfcAna,fc#1,,perf,atma,,ānṛcāna,ṛc#1
Anfcvas,fc#1,,perf,para,,ānṛcvas,ṛc#1
AnfDAna,fD,,perf,atma,,ānṛdhāna,ṛdh
AnfDvas,fD,,perf,para,,ānṛdhvas,ṛdh
AnfzARa,fz,,perf,atma,,ānṛṣāṇa,ṛṣ
Anfzvas,fz,,perf,para,,ānṛṣvas,ṛṣ
AnyamAna,an#2,,pres,pass,caus,ānyamāna,an#2
Anya,an#2,,fut,pass,caus,ānya,an#2
ApanIya,Ap,,fut,pass,,āpanīya,āp
ApanIya,Ap,,fut,pass,caus,āpanīya,āp
Apayat,Ap,,pres,para,caus,āpayat,āp
ApayamAna,Ap,,pres,atma,caus,āpayamāna,āp
Apayitavya,Ap,,fut,pass,caus,āpayitavya,āp
Apayizyat,Ap,,fut,para,caus,āpayiṣyat,āp
ApayizyamAna,Ap,,fut,atma,,āpayiṣyamāna,āp
ApayizyamAna,Ap,,fut,atma,caus,āpayiṣyamāna,āp
ApAna,Ap,,perf,atma,,āpāna,āp
